Comprehensive Master Database of 500+ Indian Government Schemes,,,,,,,,
"Extensive multi-state and central registry tracking eligibility parameters, income brackets, required documentation, and application prerequisites.",,,,,,,,
,,,,,,,,
Scheme Name,"Scheme Type
(Central/State)",State / UT Name,Eligible Gender,Eligible Age Group,Eligible Income / Salary Range,Eligible Occupation / Category,Required Application Documents,Essential / Critical Prerequisites
Kanya Biju Swasthya Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Kalia Kisan Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Kalia Kisan Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Kalia Kisan Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Kalia Kisan Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Kalia Kisan Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Kalia Kisan Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Har Ghar Nal Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Har Ghar Nal Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Har Ghar Nal Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Har Ghar Nal Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Har Ghar Nal Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Har Ghar Nal Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Saat Nischay Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Saat Nischay Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Saat Nischay Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Saat Nischay Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Saat Nischay Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Saat Nischay Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Medhavi Chhatra Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Medhavi Chhatra Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Medhavi Chhatra Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Medhavi Chhatra Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Medhavi Chhatra Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Medhavi Chhatra Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Shramik Kalyan Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Shramik Kalyan Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Shramik Kalyan Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Shramik Kalyan Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Shramik Kalyan Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Shramik Kalyan Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Berozgari Bhatta Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Berozgari Bhatta Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Berozgari Bhatta Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Berozgari Bhatta Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Berozgari Bhatta Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Berozgari Bhatta Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Nirmal Seva Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Nirmal Seva Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Nirmal Seva Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Nirmal Seva Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Nirmal Seva Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Nirmal Seva Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Aasara Pension Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Aasara Pension Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Aasara Pension Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Aasara Pension Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Aasara Pension Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Aasara Pension Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Cheyutha Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Cheyutha Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Cheyutha Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Cheyutha Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Cheyutha Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Cheyutha Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Netanna Nnestham Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
Arunachal Pradesh Netanna Nnestham Protsahan Yojana,State,Arunachal Pradesh,All,Students / Youth,Family Income ≤ ₹4.5 Lakhs/annum,"Unemployed Youth, Graduates, and School Passouts","Marksheet copies, Domicile, Institutional Certificate",Must maintain a minimum attendance threshold or job-search activity logs
Krishi Netanna Nnestham Kalyan Subvention,State,Arunachal Pradesh,All,No age bar,Excludes institutional landholders,Marginal & Small Scale Farmers,"Land Revenue Record (Khasra Khautani), Bank details, Aadhaar",Direct land parcel maps must match state land revenue archives
Vrudha Netanna Nnestham Pension Pension Registry,State,Arunachal Pradesh,All,≥ 60 years,Below Poverty Line (BPL) status holders,Senior Citizens / Elderly Residents,"Age proof certificate, Income verification document, BPL card",Cannot receive parallel financial benefits from centralized ministries
Arunachal Pradesh Swasthya Netanna Nnestham Bima Suraksha,State,Arunachal Pradesh,All,All Ages,Family Income ≤ ₹5 Lakhs/annum or BPL,Economically vulnerable households,"State-issued Smart Health Card, Ration Card, Aadhaar",Treatment restricted to state empanelled public & private hospitals
Kanya Netanna Nnestham Mangala Bikash Program,State,Arunachal Pradesh,Female Only,From birth to 18 years,Family Income ≤ ₹3 Lakhs/annum,Girl children of low-income families,"Birth Certificate, Parents' Income proof, Aadhaar card",Restricted up to a maximum threshold of two daughters per household unit
Mukhyamantri Matsyakara Bharosa Sahayata Scheme,State,Arunachal Pradesh,Female Focus,21-60 years,Family Income ≤ ₹2.5 Lakhs/annum,"Women heads of families, widows, or single mothers","Domicile Certificate, Aadhaar, Income Certificate, Bank statement",Applicant must be a permanent resident of the specifying state
